pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---home	171	103	68	65	76	7	0	0	0	0	0	0	0
education---store	72	29	15	30	30	3	0	0	0	0	0	0	0
education---work	87	123	44	40	77	1	0	0	0	0	0	0	0
home---education	411	184	239	197	8	2	0	0	0	0	0	0	0
home---school	12	0	0	0	0	0	0	0	0	0	0	0	0
home---shopping	164	1339	50	3	0	0	0	0	0	0	0	0	0
home---work	892	1698	1849	660	54	42	31	2	0	0	0	0	0
school---home	7	0	0	0	0	0	0	0	0	0	0	0	0
school---work	2	2	1	0	0	0	0	0	0	0	0	0	0
shopping---home	248	738	60	0	0	0	0	0	0	0	0	0	0
shopping---store	86	378	46	0	0	0	0	0	0	0	0	0	0
store---home	2035	566	73	0	0	0	0	0	0	0	0	0	0
work---home	1289	2009	318	4	0	0	0	0	0	0	0	0	0
work---store	1315	543	123	4	0	0	0	0	0	0	0	0	0

average trip duration: 410.3461148197597 seconds = 00:06:50
