Link Id	Count Station Id	Hour	MATSIM volumes	Count volumes	Relative Error	Normalized Relative Error	GEH
297869_1	revers_1059-f	7	0	0	0	0	�
297869_1	revers_1059-f	8	3	28	-0.893	0.893	6.35
297869_1	revers_1059-f	9	198.8	124	0.603	0.376	5.888
297869_1	revers_1059-f	10	43.2	100	-0.568	0.568	6.713
297869_1	revers_1059-f	11	35	108	-0.676	0.676	8.633
297869_1	revers_1059-f	12	93	104	-0.106	0.106	1.108
297869_1	revers_1059-f	13	30	144	-0.792	0.792	12.222
297869_1	revers_1059-f	14	50	60	-0.167	0.167	1.348
297869_1	revers_1059-f	15	69	84	-0.179	0.179	1.715
297869_1	revers_1059-f	16	60	8	6.5	0.867	8.918
297869_1	revers_1059-f	17	50	136	-0.632	0.632	8.918
297869_1	revers_1059-f	18	306	216	0.417	0.294	5.571
297869_1	revers_1059-f	19	262	308	-0.149	0.149	2.725
297869_1	revers_1059-f	20	108	232	-0.534	0.534	9.51
297869_1	revers_1059-f	21	48	208	-0.769	0.769	14.142
297869_1	revers_1059-f	22	6	148	-0.959	0.959	16.182
297869_1	revers_1059-f	23	11	100	-0.89	0.89	11.947
297869_1	revers_1059-f	24	7	44	-0.841	0.841	7.327
297869_1_r	1059-f	1	0	0	0	0	�
297869_1_r	1059-f	2	0	0	0	0	�
297869_1_r	1059-f	3	0	0	0	0	�
297869_1_r	1059-f	4	0	0	0	0	�
297869_1_r	1059-f	5	0	0	0	0	�
297869_1_r	1059-f	6	0	0	0	0	�
297869_1_r	1059-f	7	19	0	1000	1	6.164
297869_1_r	1059-f	8	53	200	-0.735	0.735	13.07
297869_1_r	1059-f	9	246	472	-0.479	0.479	11.928
297869_1_r	1059-f	10	160	280	-0.429	0.429	8.09
297869_1_r	1059-f	11	11	232	-0.953	0.953	20.05
297869_1_r	1059-f	12	27	164	-0.835	0.835	14.019
297869_1_r	1059-f	13	32	140	-0.771	0.771	11.646
297869_1_r	1059-f	14	31	68	-0.544	0.544	5.259
297869_1_r	1059-f	15	50	144	-0.653	0.653	9.544
297869_1_r	1059-f	16	42	80	-0.475	0.475	4.865
297869_1_r	1059-f	17	49	148	-0.669	0.669	9.975
297869_1_r	1059-f	18	94	488	-0.807	0.807	23.097
297869_1_r	1059-f	19	100	512	-0.805	0.805	23.552
297869_1_r	1059-f	20	66	340	-0.806	0.806	19.231
297869_1_r	1059-f	21	16	188	-0.915	0.915	17.031
297869_1_r	1059-f	22	6	60	-0.9	0.9	9.4
297869_1_r	1059-f	23	2	52	-0.962	0.962	9.623
297869_1_r	1059-f	24	0	24	-1	1	6.928
297870_2	1194	1	0	0	0	0	�
297870_2	1194	2	0	0	0	0	�
297870_2	1194	3	0	0	0	0	�
297870_2	1194	4	0	0	0	0	�
297870_2	1194	5	0	0	0	0	�
297870_2	1194	6	0	0	0	0	�
297870_2	1194	7	1	0	1000	1	1.414
297870_2	1194	8	5	56	-0.911	0.911	9.235
297870_2	1194	9	125	104	0.202	0.168	1.963
297870_2	1194	10	15.8	88	-0.82	0.82	10.022
297870_2	1194	11	1	108	-0.991	0.991	14.494
297870_2	1194	12	9	68	-0.868	0.868	9.509
