Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	14:25:20	14:25:20	14:25:20			14:25:20	14:25:20	14:25:20	14:25:20	14:25:20	14:25:25	14:25:25	14:25:25	14:25:25	14:25:25	14:25:25			14:25:26	14:25:26		00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:06
1	14:25:26	14:25:26	14:25:26	14:25:26	14:25:26	14:25:26	14:25:26	14:25:27	14:25:27	14:25:27	14:25:30	14:25:30	14:25:30	14:25:30	14:25:30	14:25:30			14:25:30	14:25:30		00:00:00	00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
2	14:25:30	14:25:30	14:25:30	14:25:30	14:25:30	14:25:30			14:25:30	14:25:30	14:25:33	14:25:33	14:25:33	14:25:33	14:25:33	14:25:33			14:25:34	14:25:34		00:00:00	00:00:00		00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
3	14:25:34	14:25:34	14:25:34	14:25:34	14:25:34	14:25:34			14:25:34	14:25:34	14:25:37	14:25:37	14:25:37	14:25:37	14:25:37	14:25:37			14:25:37	14:25:37		00:00:00	00:00:00		00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
4	14:25:37	14:25:37	14:25:37	14:25:37	14:25:37	14:25:37			14:25:37	14:25:37	14:25:41	14:25:41	14:25:41	14:25:41	14:25:41	14:25:41			14:25:41	14:25:41		00:00:00	00:00:00		00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
5	14:25:41	14:25:41	14:25:41	14:25:41	14:25:41	14:25:41			14:25:41	14:25:41	14:25:44	14:25:44	14:25:44	14:25:44	14:25:44	14:25:44			14:25:45	14:25:45		00:00:00	00:00:00		00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
6	14:25:45	14:25:45	14:25:45	14:25:45	14:25:45	14:25:45			14:25:45	14:25:45	14:25:48	14:25:48	14:25:48	14:25:48	14:25:48	14:25:48			14:25:48	14:25:48		00:00:00	00:00:00		00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
7	14:25:48	14:25:48	14:25:48	14:25:48	14:25:48	14:25:48			14:25:48	14:25:48	14:25:51	14:25:51	14:25:51	14:25:51	14:25:51	14:25:51			14:25:52	14:25:52		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
8	14:25:52	14:25:52	14:25:52	14:25:52	14:25:52	14:25:52			14:25:52	14:25:52	14:25:55	14:25:55	14:25:55	14:25:55	14:25:55	14:25:55			14:25:55	14:25:55		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
9	14:25:55	14:25:55	14:25:55	14:25:55	14:25:55	14:25:55			14:25:55	14:25:55	14:25:58	14:25:58	14:25:58	14:25:58	14:25:58	14:25:58			14:25:58	14:25:58		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
