ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-1106.1929022988493	-1106.1929022988493	-1106.1929022988493	-1106.1929022988493
1	-963.6542241379314	-1440.588879310344	-1034.923563218391	-629.2582471264365
2	-997.584224137929	-1637.514712643674	-1022.4771168582369	-483.2015804597695
3	-942.1010344827616	-1752.4372701149432	-1002.383096264365	-392.82405172413894
4	-996.8089367816053	-1855.6762643678148	-1001.2682643678198	-341.9700574712652
5	-690.9267528735614	-1859.1292816091955	-975.0209377394641	-325.44459770114844
6	-481.60886219375845	-1858.3490660470454	-950.3212497632232	-301.4360908867119
7	-395.8289425291859	-1858.186892819911	-936.2876438465728	-287.3284834358458
8	-357.64020456126246	-1828.1886398987333	-920.8979544527206	-276.6498823569527
9	-339.5166626789445	-1822.0482141206098	-910.2195796216091	-270.3675643220893
10	-330.9498397356471	-1814.183766749314	-900.9602107630025	-266.85769524740067
11	-320.57954284169443	-1805.7223104629097	-890.8029677813711	-262.9945180472682
12	-317.1619154143354	-1793.5517722992902	-880.2486453648811	-261.0804534139276
13	-310.9664628977762	-1782.4657122270871	-869.4380902841003	-258.76948154949446
14	-311.9226903231871	-1766.1248083892576	-858.3997200006548	-258.3229445341015
15	-309.384218691963	-1750.6688190273821	-845.7532649506194	-257.8097025561401
16	-303.34683996566844	-1732.7704738085208	-833.2297014400984	-254.81371123351875
17	-306.34757145040385	-1715.5057394374435	-822.7726124494469	-255.62883371271525
18	-307.5056418433504	-1697.6000810264572	-812.6443194851524	-255.98488152701339
19	-313.09802172109016	-1675.1740328176259	-802.1529785006405	-256.3666818784225
20	-303.4117301654633	-1653.6782409006014	-789.3686406212305	-254.90524668675903
21	-304.0265001194362	-1629.6147877906753	-777.5940965938355	-254.70093818138508
22	-297.9961629169734	-1606.289654989153	-765.8333837500384	-251.33577212070654
23	-307.35250173535735	-1584.0922994819941	-755.335320719472	-253.80127328017505
24	-302.7538686982655	-1559.7569861411562	-743.1460419842275	-252.1533696504714
25	-295.4045265872141	-1536.1965770326271	-730.2911928358598	-249.33737898039914
26	-294.6678755256836	-1485.509429514329	-714.9650864111342	-249.41660687379672
27	-295.72355368572875	-1459.8179322230383	-703.0135465811898	-248.68508387194612
28	-298.0307676167094	-1435.337320328298	-691.5868143084667	-249.7898949181192
29	-290.35908260992454	-1407.2291207381409	-678.9586709209805	-246.82702123056225
30	-287.43600358056966	-1381.1673505484262	-667.3979145335993	-246.06972402619581
31	-287.8000712353778	-1357.3274934243225	-656.2033522982387	-245.1569679698648
32	-286.1858230917548	-1328.4789110777315	-644.609913612724	-245.04434961200457
33	-282.7637910454982	-1303.328669148307	-633.0681344469821	-244.0929457371809
34	-284.9058521351476	-1277.9135377284833	-622.8905612570035	-244.12277727395306
35	-279.33500315339785	-1251.9603561691497	-611.4690877473665	-241.94883152623012
