ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-1106.1929022988493	-1106.1929022988493	-1106.1929022988493	-1106.1929022988493
1	-963.6542241379314	-1440.588879310344	-1034.923563218391	-629.2582471264365
2	-997.584224137929	-1637.514712643674	-1022.4771168582369	-483.2015804597695
3	-942.1010344827616	-1752.4372701149432	-1002.383096264365	-392.82405172413894
4	-996.8089367816053	-1855.6762643678148	-1001.2682643678198	-341.9700574712652
5	-690.9267528735614	-1859.1292816091955	-975.0209377394641	-325.44459770114844
6	-388.04543228241886	-1859.3553792989414	-934.1914385189541	-210.4667716509342
7	-319.8910347901037	-1859.8044565863572	-921.8822250420912	-205.33097324738043
8	-284.8142279478743	-1830.3442636502953	-906.5251945669105	-190.70413718389483
9	-265.5209150301456	-1825.2617609144252	-895.3893856066585	-177.3467001771302
10	-260.0373290512842	-1818.2974025479787	-886.8887040704003	-170.69583259981698
11	-255.13258564707945	-1810.927662671949	-877.69637661344	-163.8403691828821
12	-265.3599577177541	-1800.4287184959564	-868.8061931833809	-163.61120538051324
13	-254.21453397178595	-1790.2137382155397	-858.0015418142096	-157.27108572203042
14	-261.4490917385533	-1774.9736010883153	-848.6287877457257	-157.60404440999824
15	-273.3304651255856	-1761.8220343096232	-839.6894981864667	-159.74984022207877
16	-275.0843228737394	-1744.3912267500439	-830.215787008396	-159.80122265510326
17	-280.88297155867514	-1704.8359148043605	-819.1251158601438	-160.48302966648268
18	-283.49741148300205	-1690.8198467474012	-811.4124245951451	-162.48192222817184
19	-282.1595744513706	-1673.6874882883942	-802.2424795934779	-165.02003912430018
20	-280.30355357933615	-1658.3653507591484	-792.5529621008075	-163.07240646296512
21	-286.44833178692886	-1636.3790197389712	-783.1821549731081	-164.3872959745032
22	-296.4984615465016	-1613.5889690351894	-775.2045102292985	-168.96504854757424
23	-293.3204574117548	-1594.2293639650445	-765.2949818420351	-167.06808009339977
24	-294.83939704553677	-1573.5783230513107	-756.2841328803871	-169.713879575816
25	-296.150900896141	-1551.2593113075225	-747.0138307230178	-170.25091846995815
26	-310.39452470947646	-1526.543477052318	-739.2863061667556	-173.71168624344364
27	-295.76839578635133	-1503.8249773390332	-728.2710974249246	-171.4677116224737
28	-297.2569789537782	-1478.435728262633	-718.4259591726134	-170.5649111803137
29	-296.437247858662	-1451.089136119607	-708.6808198241054	-173.13753870314264
30	-294.14445107331767	-1426.9317123632304	-699.4978657431434	-171.80751952048195
31	-288.7915899702651	-1402.1219350249737	-689.4351892244387	-170.31892005052325
32	-287.6653046693313	-1376.8755751043263	-679.9679582648874	-171.12154788460754
33	-292.58673159837156	-1355.2649051567896	-672.3237619451171	-173.32350834045025
34	-284.4742260241067	-1331.6620636123284	-662.8668740633242	-170.63563771697866
35	-284.71825226002096	-1309.3465872008996	-654.1800852456907	-171.7670971718785
