count-ll	count-ll-pred-err	p2p-ll	total-ll	link-lambda-avg	link-lambda-stddev	link-lambda-min	link-lambda-max	plan-lambda-avg	plan-lambda-stddev	plan-lambda-min	plan-lambda-max	replan-count
-7400.364368422308	10495.957231577686	--	-7400.364368422308	--	--	--	--	--	--	--	--	0
-7363.565508499523	797.9325688813453	--	-7363.565508499523	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0
-7365.288874119971	628.8919119991017	--	-7365.288874119971	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0
-7401.097039945956	541.9432927460128	--	-7401.097039945956	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0
-7356.577905648793	564.5502277095898	--	-7356.577905648793	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0
-7293.592491320758	913.0741991017712	--	-7293.592491320758	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	4243
-7230.282583730669	1086.2181596169598	--	-7230.282583730669	8.772403420030039E-4	0.0526600168000116	-1.3485576930217755	7.662756291958516	0.1107334839108523	0.6026496647960274	-1.3436745104180352	8.236827044605931	6045
-7387.169626562188	874.529528603105	--	-7387.169626562188	8.299660768528411E-4	0.016615665230433067	-0.7792420598031439	1.454924313971445	0.10400835486721262	0.227098575641109	-0.8858088816052633	3.3107381358329833	6492
-7523.760663321776	924.0588470673764	--	-7523.760663321776	8.248099483879469E-4	0.016939076014930367	-0.5868459214943539	0.7228485369171556	0.10349622456962708	0.2194343365302178	-0.8660408073627114	1.7930620344476682	6435
-7624.780073848543	939.9176355351796	--	-7624.780073848543	8.47766219774066E-4	0.01755491169809018	-0.6525655552554054	0.6641888349839813	0.10636385203480225	0.22661365082798426	-0.9675181308619503	1.5946087862099343	6391
-7630.87644080132	940.9624893488923	--	-7630.87644080132	8.236817851928294E-4	0.01824293465246822	-0.5744131489753788	0.522463992932364	0.10278775506752848	0.2338630400145971	-1.2897284933310897	1.3902887422951111	6418
-7569.443823137581	867.1657787387849	--	-7569.443823137581	7.776571176420738E-4	0.018900348957484943	-0.6032142442666145	0.680416925845621	0.09662169039979891	0.24336741592929614	-1.38823583128047	1.2053728426248718	6369
