Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	14:53:45	14:53:45	14:53:45			14:53:45	14:53:45	14:53:46	14:53:46	14:53:46	14:53:50	14:53:50	14:53:50	14:53:50	14:53:50	14:53:50			14:53:50	14:53:50		00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
1	14:53:50	14:53:50	14:53:50	14:53:50	14:53:50	14:53:50	14:53:50	14:53:51	14:53:51	14:53:51	14:53:54	14:53:54	14:53:54	14:53:54	14:53:54	14:53:54			14:53:54	14:53:54		00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:04
2	14:53:54	14:53:54	14:53:54	14:53:54	14:53:54	14:53:54			14:53:54	14:53:54	14:53:57	14:53:57	14:53:57	14:53:57	14:53:57	14:53:57			14:53:57	14:53:57		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
3	14:53:58	14:53:58	14:53:58	14:53:58	14:53:58	14:53:58			14:53:58	14:53:58	14:54:01	14:54:01	14:54:01	14:54:01	14:54:01	14:54:01			14:54:01	14:54:01		00:00:00	00:00:00		00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
4	14:54:01	14:54:01	14:54:01	14:54:01	14:54:01	14:54:01			14:54:01	14:54:01	14:54:04	14:54:04	14:54:04	14:54:04	14:54:04	14:54:04			14:54:04	14:54:04		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
5	14:54:04	14:54:04	14:54:04	14:54:04	14:54:04	14:54:04			14:54:04	14:54:04	14:54:07	14:54:07	14:54:07	14:54:07	14:54:07	14:54:07			14:54:08	14:54:08		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
6	14:54:08	14:54:08	14:54:08	14:54:08	14:54:08	14:54:08			14:54:08	14:54:08	14:54:11	14:54:11	14:54:11	14:54:11	14:54:11	14:54:11			14:54:11	14:54:11		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
7	14:54:11	14:54:11	14:54:11	14:54:11	14:54:11	14:54:11			14:54:11	14:54:11	14:54:14	14:54:14	14:54:14	14:54:14	14:54:14	14:54:14			14:54:14	14:54:14		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
8	14:54:14	14:54:14	14:54:14	14:54:14	14:54:14	14:54:14			14:54:14	14:54:14	14:54:17	14:54:17	14:54:17	14:54:17	14:54:17	14:54:17			14:54:17	14:54:17		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
9	14:54:18	14:54:18	14:54:18	14:54:18	14:54:18	14:54:18			14:54:18	14:54:18	14:54:20	14:54:20	14:54:20	14:54:20	14:54:20	14:54:20			14:54:21	14:54:21		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
