Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	15:22:31	15:22:31	15:22:31			15:22:31	15:22:31	15:22:32	15:22:32	15:22:32	15:22:35	15:22:35	15:22:35	15:22:35	15:22:35	15:22:35			15:22:36	15:22:36		00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
1	15:22:36	15:22:36	15:22:36	15:22:36	15:22:36	15:22:36	15:22:36	15:22:36	15:22:36	15:22:36	15:22:39	15:22:39	15:22:39	15:22:39	15:22:39	15:22:39			15:22:40	15:22:40		00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
2	15:22:40	15:22:40	15:22:40	15:22:40	15:22:40	15:22:40			15:22:40	15:22:40	15:22:43	15:22:43	15:22:43	15:22:43	15:22:43	15:22:43			15:22:43	15:22:43		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
3	15:22:43	15:22:43	15:22:43	15:22:43	15:22:43	15:22:43			15:22:43	15:22:43	15:22:46	15:22:46	15:22:46	15:22:46	15:22:46	15:22:46			15:22:46	15:22:46		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
4	15:22:46	15:22:46	15:22:46	15:22:46	15:22:47	15:22:47			15:22:47	15:22:47	15:22:49	15:22:49	15:22:49	15:22:49	15:22:49	15:22:49			15:22:50	15:22:50		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
5	15:22:50	15:22:50	15:22:50	15:22:50	15:22:50	15:22:50			15:22:50	15:22:50	15:22:53	15:22:53	15:22:53	15:22:53	15:22:53	15:22:53			15:22:53	15:22:53		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
6	15:22:53	15:22:53	15:22:53	15:22:53	15:22:53	15:22:53			15:22:53	15:22:53	15:22:56	15:22:56	15:22:56	15:22:56	15:22:56	15:22:56			15:22:56	15:22:56		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
7	15:22:56	15:22:56	15:22:56	15:22:56	15:22:56	15:22:56			15:22:56	15:22:56	15:22:59	15:22:59	15:22:59	15:22:59	15:22:59	15:22:59			15:23:00	15:23:00		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
8	15:23:00	15:23:00	15:23:00	15:23:00	15:23:00	15:23:00			15:23:00	15:23:00	15:23:03	15:23:03	15:23:03	15:23:03	15:23:03	15:23:03			15:23:03	15:23:03		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
9	15:23:03	15:23:03	15:23:03	15:23:03	15:23:03	15:23:03			15:23:03	15:23:03	15:23:06	15:23:06	15:23:06	15:23:06	15:23:06	15:23:06			15:23:06	15:23:06		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
10	15:23:07	15:23:07	15:23:07	15:23:07	15:23:07	15:23:07			15:23:07	15:23:07	15:23:09	15:23:09	15:23:09	15:23:09	15:23:09	15:23:09			15:23:10	15:23:10		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
11	15:23:10	15:23:10	15:23:10	15:23:10	15:23:10	15:23:10			15:23:10	15:23:10	15:23:13	15:23:13	15:23:13	15:23:13	15:23:13	15:23:13			15:23:13	15:23:13		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
12	15:23:13	15:23:13	15:23:13	15:23:13	15:23:13	15:23:13			15:23:13	15:23:13	15:23:16	15:23:16	15:23:16	15:23:16	15:23:16	15:23:16			15:23:16	15:23:16		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
13	15:23:16	15:23:16	15:23:16	15:23:16	15:23:16	15:23:16			15:23:16	15:23:16	15:23:19	15:23:19	15:23:19	15:23:19	15:23:19	15:23:19			15:23:20	15:23:20		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
14	15:23:20	15:23:20	15:23:20	15:23:20	15:23:20	15:23:20			15:23:20	15:23:20	15:23:23	15:23:23	15:23:23	15:23:23	15:23:23	15:23:23			15:23:23	15:23:23		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
15	15:23:23	15:23:23	15:23:23	15:23:23	15:23:23	15:23:23			15:23:23	15:23:23	15:23:26	15:23:26	15:23:26	15:23:26	15:23:26	15:23:26			15:23:26	15:23:26		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
16	15:23:26	15:23:26	15:23:26	15:23:26	15:23:26	15:23:26			15:23:26	15:23:26	15:23:29	15:23:29	15:23:29	15:23:29	15:23:29	15:23:29			15:23:30	15:23:30		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
17	15:23:30	15:23:30	15:23:30	15:23:30	15:23:30	15:23:30			15:23:30	15:23:30	15:23:32	15:23:32	15:23:32	15:23:32	15:23:32	15:23:32			15:23:33	15:23:33		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
18	15:23:33	15:23:33	15:23:33	15:23:33	15:23:33	15:23:33			15:23:33	15:23:33	15:23:36	15:23:36	15:23:36	15:23:36	15:23:36	15:23:36			15:23:36	15:23:36		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
19	15:23:36	15:23:36	15:23:36	15:23:36	15:23:36	15:23:36			15:23:36	15:23:36	15:23:39	15:23:39	15:23:39	15:23:39	15:23:39	15:23:39			15:23:39	15:23:39		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
20	15:23:39	15:23:39	15:23:39	15:23:39	15:23:39	15:23:39			15:23:39	15:23:39	15:23:42	15:23:42	15:23:42	15:23:42	15:23:42	15:23:42			15:23:43	15:23:43		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
21	15:23:43	15:23:43	15:23:43	15:23:43	15:23:43	15:23:43			15:23:43	15:23:43	15:23:46	15:23:46	15:23:46	15:23:46	15:23:46	15:23:46			15:23:46	15:23:46		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
