ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-1106.1929022988493	-1106.1929022988493	-1106.1929022988493	-1106.1929022988493
1	-963.6542241379314	-1440.588879310344	-1034.923563218391	-629.2582471264365
2	-997.584224137929	-1637.514712643674	-1022.4771168582369	-483.2015804597695
3	-942.1010344827616	-1752.4372701149432	-1002.383096264365	-392.82405172413894
4	-996.8089367816053	-1855.6762643678148	-1001.2682643678198	-341.9700574712652
5	-690.9267528735614	-1859.1292816091955	-975.0209377394641	-325.44459770114844
6	547.5888668309942	-1986.382799109451	-772.8933260761968	929.9383488601127
7	526.9627639117653	-2026.391673799223	-784.2701075343898	895.8429865737946
8	528.4859458790737	-2043.5800053063458	-781.6002620273756	918.7007852051804
9	545.6730468563279	-2085.6421091695142	-778.8480458485533	971.8861539935762
10	595.0949361037544	-2126.722048809528	-771.818955840937	1068.5921405781162
11	580.4651918520462	-2168.296081103327	-777.1286298307235	1102.0338751439767
12	574.7407364209778	-2205.114202587728	-779.3108969770484	1137.7687707310436
13	522.365184124792	-2242.231610750317	-785.0608023739404	1156.9129910683178
14	473.66739642520906	-2288.0399744572574	-795.919950392385	1182.0242364643152
15	466.43205471907044	-2324.290919599882	-803.5580967206213	1201.0020776458607
16	444.651600846802	-2355.5852741056306	-811.9463300911887	1214.1632073615374
17	422.6137366660299	-2367.2535493138016	-820.4463342588872	1211.884819259667
18	363.78505404434105	-2398.702281274995	-838.9870288842224	1198.118243743795
19	384.05140019243487	-2428.120547682946	-847.3770001371943	1205.1614423234614
20	359.07444663451054	-2460.583703662937	-857.3600855180272	1212.563360432246
21	336.657303490853	-2486.585413429468	-867.6213106489284	1201.169021472481
22	333.8581838021873	-2507.6298520369783	-875.7821253844928	1211.269875648747
23	271.7314939823998	-2533.0464772077053	-885.6000457797758	1193.9262404695198
24	219.09175000396192	-2551.4411314721633	-897.1269779761301	1195.2091961473454
25	225.14664576256024	-2564.7753922666698	-903.5998941631219	1186.5177175255083
26	222.68483887339173	-2582.904098928197	-911.6129289541323	1188.5219224976634
27	178.81608281328613	-2612.519190821789	-927.2129937057293	1167.387046052395
28	200.1469643267311	-2626.223052723136	-936.1552723573077	1168.8092364303188
29	193.48974662793646	-2642.542839530203	-941.8255339355563	1162.13312117996
30	169.12278458731365	-2653.8628404716783	-950.8706548562533	1153.9568213473615
31	277.7848812902727	-2653.106940165089	-942.8934591727398	1174.947163762967
32	272.62090620392223	-2664.8781989846707	-944.1236404874597	1178.764473289899
33	262.0868624486216	-2669.25310316383	-947.9735030152892	1172.3933625006532
34	296.30448055830675	-2660.2548310311968	-941.5538392925558	1186.555760298272
35	329.4151567370594	-2654.1843027860727	-932.0763649996094	1196.416081748719
36	334.1276331407792	-2643.943460057655	-925.5939017732508	1202.6691968198306
37	332.4479068984	-2627.1903570222207	-919.6876621236689	1207.4400609258964
