count-ll	count-ll-pred-err	p2p-ll	total-ll	link-lambda-avg	link-lambda-stddev	link-lambda-min	link-lambda-max	plan-lambda-avg	plan-lambda-stddev	plan-lambda-min	plan-lambda-max	replan-count
-7400.364368422308	10495.957231577686	--	-7400.364368422308	--	--	--	--	--	--	--	--	0
-7363.565508499523	797.9325688813453	--	-7363.565508499523	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0
-7365.288874119971	628.8919119991017	--	-7365.288874119971	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0
-7401.097039945956	541.9432927460128	--	-7401.097039945956	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0
-7356.577905648793	564.5502277095898	--	-7356.577905648793	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0
-7293.592491320758	913.0741991017712	--	-7293.592491320758	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	4243
-7230.282583730669	1086.2181596169598	--	-7230.282583730669	8.772403420030039E-4	0.0526600168000116	-1.3485576930217755	7.662756291958516	0.1107334839108523	0.6026496647960274	-1.3436745104180352	8.236827044605931	6045
-7256.445002305301	691.7355900299793	--	-7256.445002305301	8.661777251480268E-4	0.016855012933366314	-0.7792420598031439	1.454924313971445	0.10854626800758325	0.22767628628828368	-0.8858088816052633	3.3107381358329833	6518
-7340.432075773614	670.7825197215045	--	-7340.432075773614	8.416220881129169E-4	0.01658868887961313	-0.49956171817316375	0.7228485369171556	0.10629181651115527	0.21203903676834301	-1.033536787270768	2.0573111765454333	6467
-7359.847858191311	798.2062515318955	--	-7359.847858191311	8.411453932175849E-4	0.01680819173116822	-0.49957761226906827	0.5930815615629249	0.1070096293018289	0.21380607417597386	-1.059938365129327	1.9256707058376166	6431
-7347.769582506712	790.9207328184791	--	-7347.769582506712	8.871098896400797E-4	0.01768989081685856	-0.5029583048811231	0.7719959059085556	0.1131218313870513	0.22362431595571478	-1.3947304990062177	1.8495879960691308	6490
-7326.442992937665	787.8606368384222	--	-7326.442992937665	8.780927322815844E-4	0.018042046034100943	-0.4983453988713491	0.7061771934324974	0.11193618885625348	0.22997266280557038	-1.2781470638461987	1.7791997094936687	6460
