Link Id	Count Station Id	Hour	MATSIM volumes	Count volumes	Relative Error	Normalized Relative Error	GEH
297843_0	0009	1	0	0	0	0	�
297843_0	0009	2	0	0	0	0	�
297843_0	0009	3	0	0	0	0	�
297843_0	0009	4	0	0	0	0	�
297843_0	0009	5	0	0	0	0	�
297843_0	0009	6	0	0	0	0	�
297843_0	0009	7	19	0	1000	1	6.164
297843_0	0009	8	119	152	-0.217	0.217	2.835
297843_0	0009	9	212	316	-0.329	0.329	6.401
297843_0	0009	10	89	388	-0.771	0.771	19.361
297843_0	0009	11	107	404	-0.735	0.735	18.581
297843_0	0009	12	87	248	-0.649	0.649	12.44
297843_0	0009	13	113	380	-0.703	0.703	17.006
297843_0	0009	14	143	352	-0.594	0.594	13.285
297843_0	0009	15	216	392	-0.449	0.449	10.094
297843_0	0009	16	167	204	-0.181	0.181	2.717
297843_0	0009	17	118	212	-0.443	0.443	7.318
297843_0	0009	18	148	680	-0.782	0.782	26.146
297843_0	0009	19	154	772	-0.801	0.801	28.721
297843_0	0009	20	393	736	-0.466	0.466	14.437
297843_0	0009	21	280	524	-0.466	0.466	12.17
297843_0	0009	22	22	360	-0.939	0.939	24.457
297843_0	0009	23	121	136	-0.11	0.11	1.323
297843_0	0009	24	103	92	0.12	0.107	1.114
297843_0_r	revers_0009	1	2	0	1000	1	2
297843_0_r	revers_0009	2	0	0	0	0	�
297843_0_r	revers_0009	3	0	0	0	0	�
297843_0_r	revers_0009	4	0	0	0	0	�
297843_0_r	revers_0009	5	0	0	0	0	�
297843_0_r	revers_0009	6	0	0	0	0	�
297843_0_r	revers_0009	7	45	0	1000	1	9.487
297843_0_r	revers_0009	8	173	392	-0.559	0.559	13.03
297843_0_r	revers_0009	9	134	644	-0.792	0.792	25.858
297843_0_r	revers_0009	10	68	604	-0.887	0.887	29.241
297843_0_r	revers_0009	11	88	408	-0.784	0.784	20.32
297843_0_r	revers_0009	12	87	332	-0.738	0.738	16.927
297843_0_r	revers_0009	13	92	444	-0.793	0.793	21.502
297843_0_r	revers_0009	14	89	364	-0.755	0.755	18.273
297843_0_r	revers_0009	15	118	300	-0.607	0.607	12.589
297843_0_r	revers_0009	16	60	316	-0.81	0.81	18.671
297843_0_r	revers_0009	17	40	212	-0.811	0.811	15.323
297843_0_r	revers_0009	18	73	500	-0.854	0.854	25.227
297843_0_r	revers_0009	19	66	488	-0.865	0.865	25.356
297843_0_r	revers_0009	20	40	456	-0.912	0.912	26.416
297843_0_r	revers_0009	21	36	328	-0.89	0.89	21.644
297843_0_r	revers_0009	22	33	156	-0.788	0.788	12.653
297843_0_r	revers_0009	23	40	124	-0.677	0.677	9.276
297843_0_r	revers_0009	24	3	64	-0.953	0.953	10.539
297859_0	revers_0093	1	0	0	0	0	�
297859_0	revers_0093	2	0	0	0	0	�
297859_0	revers_0093	3	0	0	0	0	�
297859_0	revers_0093	4	0	0	0	0	�
297859_0	revers_0093	5	0	0	0	0	�
297859_0	revers_0093	6	0	0	0	0	�
297859_0	revers_0093	7	0	0	0	0	�
297859_0	revers_0093	8	10	44	-0.773	0.773	6.543
297859_0	revers_0093	9	38	164	-0.768	0.768	12.537
297859_0	revers_0093	10	23	128	-0.82	0.82	12.084
297859_0	revers_0093	11	0	116	-1	1	15.232
297859_0	revers_0093	12	1	72	-0.986	0.986	11.752
297859_0	revers_0093	13	1	124	-0.992	0.992	15.558
297859_0	revers_0093	14	0	80	-1	1	12.649
297859_0	revers_0093	15	5	92	-0.946	0.946	12.492
297859_0	revers_0093	16	0	88	-1	1	13.266
297859_0	revers_0093	17	1	20	-0.95	0.95	5.864
297859_0	revers_0093	18	39	224	-0.826	0.826	16.133
297859_0	revers_0093	19	41	28	0.464	0.317	2.213
297859_0	revers_0093	20	1	148	-0.993	0.993	17.031
297859_0	revers_0093	21	0	88	-1	1	13.266
297859_0	revers_0093	22	0	80	-1	1	12.649
297859_0	revers_0093	23	0	36	-1	1	8.485
297859_0	revers_0093	24	0	16	-1	1	5.657
297859_0_r	0093	1	0	0	0	0	�
297859_0_r	0093	2	0	0	0	0	�
297859_0_r	0093	3	0	0	0	0	�
297859_0_r	0093	4	0	0	0	0	�
297859_0_r	0093	5	0	0	0	0	�
297859_0_r	0093	6	0	0	0	0	�
297859_0_r	0093	7	0	0	0	0	�
297859_0_r	0093	8	0	44	-1	1	9.381
297859_0_r	0093	9	130	136	-0.044	0.044	0.52
297859_0_r	0093	10	0	108	-1	1	14.697
297859_0_r	0093	11	0	64	-1	1	11.314
297859_0_r	0093	12	0	80	-1	1	12.649
297859_0_r	0093	13	0	60	-1	1	10.954
297859_0_r	0093	14	1	32	-0.969	0.969	7.632
297859_0_r	0093	15	1	36	-0.972	0.972	8.137
297859_0_r	0093	16	0	4	-1	1	2.828
297859_0_r	0093	17	0	8	-1	1	4
297859_0_r	0093	18	3	108	-0.972	0.972	14.094
297859_0_r	0093	19	7	28	-0.75	0.75	5.02
297859_0_r	0093	20	4	68	-0.941	0.941	10.667
297859_0_r	0093	21	1	60	-0.983	0.983	10.683
297859_0_r	0093	22	0	44	-1	1	9.381
297859_0_r	0093	23	0	20	-1	1	6.325
297859_0_r	0093	24	0	12	-1	1	4.899
297869_1	revers_1059-f	1	0	0	0	0	�
297869_1	revers_1059-f	2	0	0	0	0	�
297869_1	revers_1059-f	3	0	0	0	0	�
297869_1	revers_1059-f	4	0	0	0	0	�
297869_1	revers_1059-f	5	0	0	0	0	�
297869_1	revers_1059-f	6	0	0	0	0	�
297869_1	revers_1059-f	7	0	0	0	0	�
297869_1	revers_1059-f	8	5	28	-0.821	0.821	5.662
297869_1	revers_1059-f	9	233	124	0.879	0.468	8.158
297869_1	revers_1059-f	10	87	100	-0.13	0.13	1.344
297869_1	revers_1059-f	11	43	108	-0.602	0.602	7.481
297869_1	revers_1059-f	12	114	104	0.096	0.088	0.958
297869_1	revers_1059-f	13	43	144	-0.701	0.701	10.445
297869_1	revers_1059-f	14	58	60	-0.033	0.033	0.26
297869_1	revers_1059-f	15	60	84	-0.286	0.286	2.828
297869_1	revers_1059-f	16	48	8	5	0.833	7.559
297869_1	revers_1059-f	17	54	136	-0.603	0.603	8.413
297869_1	revers_1059-f	18	295	216	0.366	0.268	4.942
297869_1	revers_1059-f	19	258	308	-0.162	0.162	2.972
297869_1	revers_1059-f	20	116	232	-0.5	0.5	8.794
297869_1	revers_1059-f	21	57	208	-0.726	0.726	13.118
297869_1	revers_1059-f	22	8	148	-0.946	0.946	15.852
297869_1	revers_1059-f	23	13	100	-0.87	0.87	11.574
297869_1	revers_1059-f	24	7	44	-0.841	0.841	7.327
297869_1_r	1059-f	1	0	0	0	0	�
297869_1_r	1059-f	2	0	0	0	0	�
297869_1_r	1059-f	3	0	0	0	0	�
297869_1_r	1059-f	4	0	0	0	0	�
297869_1_r	1059-f	5	0	0	0	0	�
297869_1_r	1059-f	6	0	0	0	0	�
297869_1_r	1059-f	7	16	0	1000	1	5.657
297869_1_r	1059-f	8	102	200	-0.49	0.49	7.975
297869_1_r	1059-f	9	269	472	-0.43	0.43	10.546
297869_1_r	1059-f	10	179	280	-0.361	0.361	6.667
297869_1_r	1059-f	11	15	232	-0.935	0.935	19.527
297869_1_r	1059-f	12	28	164	-0.829	0.829	13.88
297869_1_r	1059-f	13	26	140	-0.814	0.814	12.513
297869_1_r	1059-f	14	33	68	-0.515	0.515	4.925
297869_1_r	1059-f	15	51	144	-0.646	0.646	9.418
297869_1_r	1059-f	16	37	80	-0.537	0.537	5.622
297869_1_r	1059-f	17	40	148	-0.73	0.73	11.139
297869_1_r	1059-f	18	130	488	-0.734	0.734	20.366
297869_1_r	1059-f	19	144	512	-0.719	0.719	20.319
297869_1_r	1059-f	20	81	340	-0.762	0.762	17.851
297869_1_r	1059-f	21	21	188	-0.888	0.888	16.336
297869_1_r	1059-f	22	7	60	-0.883	0.883	9.157
297869_1_r	1059-f	23	1	52	-0.981	0.981	9.907
297869_1_r	1059-f	24	0	24	-1	1	6.928
297870_2	1194	1	0	0	0	0	�
297870_2	1194	2	0	0	0	0	�
297870_2	1194	3	0	0	0	0	�
297870_2	1194	4	0	0	0	0	�
297870_2	1194	5	0	0	0	0	�
297870_2	1194	6	0	0	0	0	�
297870_2	1194	7	1	0	1000	1	1.414
297870_2	1194	8	8	56	-0.857	0.857	8.485
297870_2	1194	9	125	104	0.202	0.168	1.963
297870_2	1194	10	18	88	-0.795	0.795	9.615
297870_2	1194	11	1	108	-0.991	0.991	14.494
297870_2	1194	12	18	68	-0.735	0.735	7.625
297870_2	1194	13	20	124	-0.839	0.839	12.257
297870_2	1194	14	41	100	-0.59	0.59	7.027
297870_2	1194	15	39	124	-0.685	0.685	9.415
297870_2	1194	16	42	40	0.05	0.048	0.312
297870_2	1194	17	42	76	-0.447	0.447	4.426
297870_2	1194	18	149	132	0.129	0.114	1.434
297870_2	1194	19	147	104	0.413	0.293	3.838
297870_2	1194	20	87	64	0.359	0.264	2.647
297870_2	1194	21	47	84	-0.44	0.44	4.572
297870_2	1194	22	8	48	-0.833	0.833	7.559
297870_2	1194	23	8	44	-0.818	0.818	7.06
297870_2	1194	24	13	12	0.083	0.077	0.283
297870_2_r	revers_1194	1	0	0	0	0	�
297870_2_r	revers_1194	2	0	0	0	0	�
297870_2_r	revers_1194	3	0	0	0	0	�
297870_2_r	revers_1194	4	0	0	0	0	�
297870_2_r	revers_1194	5	0	0	0	0	�
297870_2_r	revers_1194	6	0	0	0	0	�
297870_2_r	revers_1194	7	17	0	1000	1	5.831
297870_2_r	revers_1194	8	17	8	1.125	0.529	2.546
297870_2_r	revers_1194	9	111	92	0.207	0.171	1.886
297870_2_r	revers_1194	10	47	76	-0.382	0.382	3.698
297870_2_r	revers_1194	11	21	72	-0.708	0.708	7.479
297870_2_r	revers_1194	12	43	72	-0.403	0.403	3.824
297870_2_r	revers_1194	13	59	100	-0.41	0.41	4.598
297870_2_r	revers_1194	14	68	88	-0.227	0.227	2.265
297870_2_r	revers_1194	15	75	48	0.562	0.36	3.443
297870_2_r	revers_1194	16	50	64	-0.219	0.219	1.854
297870_2_r	revers_1194	17	38	72	-0.472	0.472	4.585
297870_2_r	revers_1194	18	127.4	132	-0.035	0.035	0.404
297870_2_r	revers_1194	19	95	112	-0.152	0.152	1.671
297870_2_r	revers_1194	20	36	68	-0.471	0.471	4.438
297870_2_r	revers_1194	21	21	68	-0.691	0.691	7.046
297870_2_r	revers_1194	22	6	44	-0.864	0.864	7.6
297870_2_r	revers_1194	23	5	24	-0.792	0.792	4.99
297870_2_r	revers_1194	24	1	16	-0.938	0.938	5.145
297870_5	revers_1211-a	1	0	0	0	0	�
297870_5	revers_1211-a	2	0	0	0	0	�
297870_5	revers_1211-a	3	0	0	0	0	�
297870_5	revers_1211-a	4	0	0	0	0	�
297870_5	revers_1211-a	5	0	0	0	0	�
297870_5	revers_1211-a	6	0	0	0	0	�
297870_5	revers_1211-a	7	0	0	0	0	�
297870_5	revers_1211-a	8	3	100	-0.97	0.97	13.517
297870_5	revers_1211-a	9	167	240	-0.304	0.304	5.117
297870_5	revers_1211-a	10	27	132	-0.795	0.795	11.776
297870_5	revers_1211-a	11	0	100	-1	1	14.142
297870_5	revers_1211-a	12	11	92	-0.88	0.88	11.287
297870_5	revers_1211-a	13	16	100	-0.84	0.84	11.03
297870_5	revers_1211-a	14	23	108	-0.787	0.787	10.503
297870_5	revers_1211-a	15	17	148	-0.885	0.885	14.423
297870_5	revers_1211-a	16	20	124	-0.839	0.839	12.257
297870_5	revers_1211-a	17	20	120	-0.833	0.833	11.952
297870_5	revers_1211-a	18	35	196	-0.821	0.821	14.981
297870_5	revers_1211-a	19	27	220	-0.877	0.877	17.367
297870_5	revers_1211-a	20	18	156	-0.885	0.885	14.795
297870_5	revers_1211-a	21	17	176	-0.903	0.903	16.186
297870_5	revers_1211-a	22	1	84	-0.988	0.988	12.732
297870_5	revers_1211-a	23	2	28	-0.929	0.929	6.713
297870_5	revers_1211-a	24	2	20	-0.9	0.9	5.427
297870_5_r	1211-a	1	0	0	0	0	�
297870_5_r	1211-a	2	0	0	0	0	�
297870_5_r	1211-a	3	0	0	0	0	�
297870_5_r	1211-a	4	0	0	0	0	�
297870_5_r	1211-a	5	0	0	0	0	�
297870_5_r	1211-a	6	0	0	0	0	�
297870_5_r	1211-a	7	1	0	1000	1	1.414
297870_5_r	1211-a	8	22	0	1000	1	6.633
297870_5_r	1211-a	9	81.4	60	0.357	0.263	2.545
297870_5_r	1211-a	10	86	68	0.265	0.209	2.051
297870_5_r	1211-a	11	6	12	-0.5	0.5	2
297870_5_r	1211-a	12	12	48	-0.75	0.75	6.573
297870_5_r	1211-a	13	13	24	-0.458	0.458	2.557
297870_5_r	1211-a	14	25	88	-0.716	0.716	8.381
297870_5_r	1211-a	15	31	28	0.107	0.097	0.552
297870_5_r	1211-a	16	22	28	-0.214	0.214	1.2
297870_5_r	1211-a	17	15	52	-0.712	0.712	6.393
297870_5_r	1211-a	18	25	60	-0.583	0.583	5.369
297870_5_r	1211-a	19	21	96	-0.781	0.781	9.806
297870_5_r	1211-a	20	10	68	-0.853	0.853	9.287
297870_5_r	1211-a	21	5	16	-0.688	0.688	3.395
297870_5_r	1211-a	22	2	44	-0.955	0.955	8.758
