Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
19	16:42:16	16:42:16	16:42:16	16:42:16	16:42:16	16:42:16			16:42:16	16:42:16	16:42:19	16:42:19	16:42:19	16:42:19	16:42:19	16:42:19			16:42:20	16:42:20		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
20	16:42:20	16:42:20	16:42:20	16:42:20	16:42:20	16:42:20			16:42:20	16:42:20	16:42:23	16:42:23	16:42:23	16:42:23	16:42:23	16:42:23			16:42:23	16:42:23		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
21	16:42:23	16:42:23	16:42:23	16:42:23	16:42:23	16:42:23			16:42:23	16:42:23	16:42:26	16:42:26	16:42:26	16:42:26	16:42:26	16:42:26			16:42:27	16:42:27		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
22	16:42:27	16:42:27	16:42:27	16:42:27	16:42:27	16:42:27			16:42:27	16:42:27	16:42:30	16:42:30	16:42:30	16:42:30	16:42:30	16:42:30			16:42:30	16:42:30		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
23	16:42:30	16:42:30	16:42:30	16:42:30	16:42:30	16:42:30			16:42:30	16:42:30	16:42:33	16:42:33	16:42:33	16:42:33	16:42:33	16:42:33			16:42:33	16:42:33		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
24	16:42:33	16:42:33	16:42:33	16:42:33	16:42:33	16:42:33			16:42:33	16:42:33	16:42:36	16:42:36	16:42:36	16:42:36	16:42:36	16:42:36			16:42:36	16:42:36		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
25	16:42:37	16:42:37	16:42:37	16:42:37	16:42:37	16:42:37			16:42:37	16:42:37	16:42:39	16:42:39	16:42:39	16:42:39	16:42:39	16:42:39			16:42:40	16:42:40		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
26	16:42:40	16:42:40	16:42:40	16:42:40	16:42:40	16:42:40			16:42:40	16:42:40	16:42:43	16:42:43	16:42:43	16:42:43	16:42:43	16:42:43			16:42:43	16:42:43		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
27	16:42:43	16:42:43	16:42:43	16:42:43	16:42:43	16:42:43			16:42:43	16:42:43	16:42:46	16:42:46	16:42:46	16:42:46	16:42:46	16:42:46			16:42:46	16:42:46		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
28	16:42:47	16:42:47	16:42:47	16:42:47	16:42:47	16:42:47			16:42:47	16:42:47	16:42:50	16:42:50	16:42:50	16:42:50	16:42:50	16:42:50			16:42:50	16:42:50		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
