count-ll	count-ll-pred-err	p2p-ll	total-ll	link-lambda-avg	link-lambda-stddev	link-lambda-min	link-lambda-max	plan-lambda-avg	plan-lambda-stddev	plan-lambda-min	plan-lambda-max	replan-count
-7400.364368422308	10495.957231577686	--	-7400.364368422308	--	--	--	--	--	--	--	--	0
-7363.565508499523	797.9325688813453	--	-7363.565508499523	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0
-7365.288874119971	628.8919119991017	--	-7365.288874119971	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0
-7401.097039945956	541.9432927460128	--	-7401.097039945956	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0
-7356.577905648793	564.5502277095898	--	-7356.577905648793	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0
-7293.592491320758	913.0741991017712	--	-7293.592491320758	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	4243
-7230.282583730669	1086.2181596169598	--	-7230.282583730669	8.772403420030039E-4	0.0526600168000116	-1.3485576930217755	7.662756291958516	0.1107334839108523	0.6026496647960274	-1.3436745104180352	8.236827044605931	6045
-7182.4770112910055	658.6620417568363	--	-7182.4770112910055	9.191819866919274E-4	0.017265177940488607	-0.7792420598031439	1.454924313971445	0.1151885708653544	0.2281070389358628	-0.8858088816052633	3.097620673483044	6543
-7354.916514364182	757.260302525442	--	-7354.916514364182	8.643190545249944E-4	0.015641534848320076	-0.49956171817316375	0.7228485369171556	0.10921093307931408	0.1995715986967663	-0.9918477935441564	1.9185272678375704	6508
-7300.692597162941	828.3167960316235	--	-7300.692597162941	8.465376675940722E-4	0.0152538212130095	-0.43673893888299703	0.5511975935998752	0.10808156257968776	0.19541340301810092	-1.1170516602412213	1.9424982332264058	6505
-7498.347592665346	764.7676289386196	--	-7498.347592665346	7.964817244708017E-4	0.015216870360303008	-0.4631703984596276	0.7015029279711027	0.10230253376781087	0.196743243485151	-1.5586727473839985	1.831238324890024	6548
-7468.093291833847	849.6983019607223	--	-7468.093291833847	7.2403387933011E-4	0.015168960065970998	-0.4824364517660336	0.5877363406382464	0.0933175297129882	0.19607751707730908	-1.2672092101464925	1.8348638550951781	6536
