Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
19	15:52:57	15:52:57	15:52:57	15:52:57	15:52:58	15:52:58			15:52:58	15:52:58	15:53:00	15:53:00	15:53:00	15:53:00	15:53:00	15:53:00			15:53:01	15:53:01		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
20	15:53:01	15:53:01	15:53:01	15:53:01	15:53:01	15:53:01			15:53:01	15:53:01	15:53:04	15:53:04	15:53:04	15:53:04	15:53:04	15:53:04			15:53:04	15:53:04		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
21	15:53:04	15:53:04	15:53:04	15:53:04	15:53:04	15:53:04			15:53:04	15:53:04	15:53:07	15:53:07	15:53:07	15:53:07	15:53:07	15:53:07			15:53:07	15:53:07		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
22	15:53:07	15:53:07	15:53:07	15:53:07	15:53:07	15:53:07			15:53:07	15:53:07	15:53:10	15:53:10	15:53:10	15:53:10	15:53:10	15:53:10			15:53:11	15:53:11		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
23	15:53:11	15:53:11	15:53:11	15:53:11	15:53:11	15:53:11			15:53:11	15:53:11	15:53:14	15:53:14	15:53:14	15:53:14	15:53:14	15:53:14			15:53:14	15:53:14		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
24	15:53:14	15:53:14	15:53:14	15:53:14	15:53:14	15:53:14			15:53:14	15:53:14	15:53:17	15:53:17	15:53:17	15:53:17	15:53:17	15:53:17			15:53:17	15:53:17		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
25	15:53:17	15:53:17	15:53:17	15:53:17	15:53:17	15:53:17			15:53:17	15:53:17	15:53:20	15:53:20	15:53:20	15:53:20	15:53:20	15:53:20			15:53:21	15:53:21		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
26	15:53:21	15:53:21	15:53:21	15:53:21	15:53:21	15:53:21			15:53:21	15:53:21	15:53:24	15:53:24	15:53:24	15:53:24	15:53:24	15:53:24			15:53:24	15:53:24		00:00:00	00:00:00		00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
27	15:53:24	15:53:24	15:53:24	15:53:24	15:53:24	15:53:24			15:53:24	15:53:24	15:53:27	15:53:27	15:53:27	15:53:27	15:53:27	15:53:27			15:53:27	15:53:27		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
28	15:53:28	15:53:28	15:53:28	15:53:28	15:53:28	15:53:28			15:53:28	15:53:28	15:53:30	15:53:30	15:53:30	15:53:30	15:53:31	15:53:31			15:53:31	15:53:31		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
29	15:53:31	15:53:31	15:53:31	15:53:31	15:53:31	15:53:31			15:53:31	15:53:31	15:53:34	15:53:34	15:53:34	15:53:34	15:53:34	15:53:34			15:53:34	15:53:34		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
30	15:53:34	15:53:34	15:53:34	15:53:34	15:53:34	15:53:34			15:53:34	15:53:34	15:53:37	15:53:37	15:53:37	15:53:37	15:53:37	15:53:37			15:53:37	15:53:37		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
31	15:53:38	15:53:38	15:53:38	15:53:38	15:53:38	15:53:38			15:53:38	15:53:38	15:53:40	15:53:40	15:53:40	15:53:40	15:53:40	15:53:40			15:53:41	15:53:41		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
32	15:53:41	15:53:41	15:53:41	15:53:41	15:53:41	15:53:41			15:53:41	15:53:41	15:53:44	15:53:44	15:53:44	15:53:44	15:53:44	15:53:44			15:53:44	15:53:44		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
33	15:53:44	15:53:44	15:53:44	15:53:44	15:53:44	15:53:44			15:53:44	15:53:44	15:53:47	15:53:47	15:53:47	15:53:47	15:53:47	15:53:47			15:53:47	15:53:47		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
34	15:53:47	15:53:47	15:53:47	15:53:47	15:53:47	15:53:47			15:53:47	15:53:47	15:53:50	15:53:50	15:53:50	15:53:50	15:53:50	15:53:50			15:53:51	15:53:51		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
35	15:53:51	15:53:51	15:53:51	15:53:51	15:53:51	15:53:51			15:53:51	15:53:51	15:53:54	15:53:54	15:53:54	15:53:54	15:53:54	15:53:54			15:53:54	15:53:54		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
36	15:53:54	15:53:54	15:53:54	15:53:54	15:53:54	15:53:54			15:53:54	15:53:54	15:53:57	15:53:57	15:53:57	15:53:57	15:53:57	15:53:57			15:53:57	15:53:57		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
37	15:53:57	15:53:57	15:53:57	15:53:57	15:53:57	15:53:57			15:53:57	15:53:57	15:54:00	15:54:00	15:54:00	15:54:00	15:54:00	15:54:00			15:54:01	15:54:01		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
38	15:54:01	15:54:01	15:54:01	15:54:01	15:54:01	15:54:01			15:54:01	15:54:01	15:54:04	15:54:04	15:54:04	15:54:04	15:54:04	15:54:04			15:54:04	15:54:04		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
39	15:54:04	15:54:04	15:54:04	15:54:04	15:54:04	15:54:04			15:54:04	15:54:04	15:54:07	15:54:07	15:54:07	15:54:07	15:54:07	15:54:07			15:54:07	15:54:07		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
40	15:54:07	15:54:07	15:54:07	15:54:07	15:54:07	15:54:07			15:54:07	15:54:07	15:54:10	15:54:10	15:54:10	15:54:10	15:54:10	15:54:10			15:54:11	15:54:11		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
41	15:54:11	15:54:11	15:54:11	15:54:11	15:54:11	15:54:11			15:54:11	15:54:11	15:54:14	15:54:14	15:54:14	15:54:14	15:54:14	15:54:14			15:54:14	15:54:14		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
42	15:54:14	15:54:14	15:54:14	15:54:14	15:54:14	15:54:14			15:54:14	15:54:14	15:54:17	15:54:17	15:54:17	15:54:17	15:54:17	15:54:17			15:54:17	15:54:17		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
43	15:54:17	15:54:17	15:54:17	15:54:17	15:54:17	15:54:17			15:54:17	15:54:17	15:54:20	15:54:20	15:54:20	15:54:20	15:54:20	15:54:20			15:54:21	15:54:21		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
44	15:54:21	15:54:21	15:54:21	15:54:21	15:54:21	15:54:21			15:54:21	15:54:21	15:54:24	15:54:24	15:54:24	15:54:24	15:54:24	15:54:24			15:54:24	15:54:24		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
45	15:54:24	15:54:24	15:54:24	15:54:24	15:54:24	15:54:24			15:54:24	15:54:24	15:54:27	15:54:27	15:54:27	15:54:27	15:54:27	15:54:27			15:54:27	15:54:27		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
46	15:54:27	15:54:27	15:54:27	15:54:27	15:54:27	15:54:27			15:54:27	15:54:27	15:54:30	15:54:30	15:54:30	15:54:30	15:54:30	15:54:30			15:54:31	15:54:31		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
47	15:54:31	15:54:31	15:54:31	15:54:31	15:54:31	15:54:31			15:54:31	15:54:31	15:54:34	15:54:34	15:54:34	15:54:34	15:54:34	15:54:34			15:54:34	15:54:34		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
48	15:54:34	15:54:34	15:54:34	15:54:34	15:54:34	15:54:34			15:54:34	15:54:34	15:54:37	15:54:37	15:54:37	15:54:37	15:54:37	15:54:37			15:54:37	15:54:37		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
49	15:54:37	15:54:37	15:54:37	15:54:37	15:54:37	15:54:37			15:54:37	15:54:37	15:54:40	15:54:40	15:54:40	15:54:40	15:54:40	15:54:40			15:54:41	15:54:41		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
50	15:54:41	15:54:41	15:54:41	15:54:41	15:54:41	15:54:41	15:54:41	15:54:42	15:54:42	15:54:42	15:54:45	15:54:45	15:54:45	15:54:45	15:54:45	15:54:45	15:54:45	15:54:45	15:54:46	15:54:46		00:00:00	00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00	00:00:00	00:00:00	00:00:05
51	15:54:46	15:54:46	15:54:46	15:54:46	15:54:46	15:54:46			15:54:46	15:54:46	15:54:49	15:54:49	15:54:49	15:54:49	15:54:49	15:54:49			15:54:49	15:54:49		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
52	15:54:49	15:54:49	15:54:49	15:54:49	15:54:49	15:54:49			15:54:49	15:54:49	15:54:52	15:54:52	15:54:52	15:54:52	15:54:52	15:54:52			15:54:52	15:54:52		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
53	15:54:53	15:54:53	15:54:53	15:54:53	15:54:53	15:54:53			15:54:53	15:54:53	15:54:56	15:54:56	15:54:56	15:54:56	15:54:56	15:54:56			15:54:56	15:54:56		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
54	15:54:56	15:54:56	15:54:56	15:54:56	15:54:56	15:54:56			15:54:56	15:54:56	15:54:59	15:54:59	15:54:59	15:54:59	15:54:59	15:54:59			15:54:59	15:54:59		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
