Link Id	Count Station Id	Hour	MATSIM volumes	Count volumes	Relative Error	Normalized Relative Error	GEH
297843_0	0009	1	1	0	1000	1	1.414
297843_0	0009	2	0	0	0	0	�
297843_0	0009	3	0	0	0	0	�
297843_0	0009	4	0	0	0	0	�
297843_0	0009	5	0	0	0	0	�
297843_0	0009	6	0	0	0	0	�
297843_0	0009	7	10	0	1000	1	4.472
297843_0	0009	8	129.8	152	-0.146	0.146	1.87
297843_0	0009	9	311.4	316	-0.015	0.015	0.26
297843_0	0009	10	168.8	388	-0.565	0.565	13.137
297843_0	0009	11	89	404	-0.78	0.78	20.063
297843_0	0009	12	85	248	-0.657	0.657	12.632
297843_0	0009	13	155	380	-0.592	0.592	13.757
297843_0	0009	14	144	352	-0.591	0.591	13.208
297843_0	0009	15	205	392	-0.477	0.477	10.824
297843_0	0009	16	149	204	-0.27	0.27	4.14
297843_0	0009	17	119	212	-0.439	0.439	7.229
297843_0	0009	18	200	680	-0.706	0.706	22.883
297843_0	0009	19	181	772	-0.766	0.766	27.074
297843_0	0009	20	538.2	736	-0.269	0.269	7.837
297843_0	0009	21	347	524	-0.338	0.338	8.482
297843_0	0009	22	26	360	-0.928	0.928	24.042
297843_0	0009	23	130	136	-0.044	0.044	0.52
297843_0	0009	24	122	92	0.326	0.246	2.9
297843_0_r	revers_0009	1	1	0	1000	1	1.414
297843_0_r	revers_0009	2	0	0	0	0	�
297843_0_r	revers_0009	3	0	0	0	0	�
297843_0_r	revers_0009	4	0	0	0	0	�
297843_0_r	revers_0009	5	0	0	0	0	�
297843_0_r	revers_0009	6	0	0	0	0	�
297843_0_r	revers_0009	7	46	0	1000	1	9.592
297843_0_r	revers_0009	8	159.6	392	-0.593	0.593	13.994
297843_0_r	revers_0009	9	192.4	644	-0.701	0.701	22.083
297843_0_r	revers_0009	10	229.2	604	-0.621	0.621	18.363
297843_0_r	revers_0009	11	70.8	408	-0.826	0.826	21.793
297843_0_r	revers_0009	12	91	332	-0.726	0.726	16.572
297843_0_r	revers_0009	13	110	444	-0.752	0.752	20.068
297843_0_r	revers_0009	14	96	364	-0.736	0.736	17.671
297843_0_r	revers_0009	15	159	300	-0.47	0.47	9.307
297843_0_r	revers_0009	16	76	316	-0.759	0.759	17.143
297843_0_r	revers_0009	17	38	212	-0.821	0.821	15.563
297843_0_r	revers_0009	18	92	500	-0.816	0.816	23.715
297843_0_r	revers_0009	19	86	488	-0.824	0.824	23.729
297843_0_r	revers_0009	20	45	456	-0.901	0.901	25.968
297843_0_r	revers_0009	21	38	328	-0.884	0.884	21.437
297843_0_r	revers_0009	22	24	156	-0.846	0.846	13.914
297843_0_r	revers_0009	23	44	124	-0.645	0.645	8.729
297843_0_r	revers_0009	24	3	64	-0.953	0.953	10.539
297859_0	revers_0093	1	0	0	0	0	�
297859_0	revers_0093	2	0	0	0	0	�
297859_0	revers_0093	3	0	0	0	0	�
297859_0	revers_0093	4	0	0	0	0	�
297859_0	revers_0093	5	0	0	0	0	�
297859_0	revers_0093	6	0	0	0	0	�
297859_0	revers_0093	7	0	0	0	0	�
297859_0	revers_0093	8	17	44	-0.614	0.614	4.889
297859_0	revers_0093	9	37	164	-0.774	0.774	12.668
297859_0	revers_0093	10	15	128	-0.883	0.883	13.364
297859_0	revers_0093	11	0	116	-1	1	15.232
297859_0	revers_0093	12	0	72	-1	1	12
297859_0	revers_0093	13	1	124	-0.992	0.992	15.558
297859_0	revers_0093	14	0	80	-1	1	12.649
297859_0	revers_0093	15	5	92	-0.946	0.946	12.492
297859_0	revers_0093	16	0	88	-1	1	13.266
297859_0	revers_0093	17	0	20	-1	1	6.325
297859_0	revers_0093	18	49	224	-0.781	0.781	14.979
297859_0	revers_0093	19	33	28	0.179	0.152	0.905
297859_0	revers_0093	20	2	148	-0.986	0.986	16.859
297859_0	revers_0093	21	0	88	-1	1	13.266
297859_0	revers_0093	22	0	80	-1	1	12.649
297859_0	revers_0093	23	0	36	-1	1	8.485
