pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---home	135	30	34	56	94	49	17	0	0	0	0	0	0
education---store	48	24	12	39	94	18	15	4	0	0	0	0	0
education---work	49	68	38	48	166	3	0	0	0	0	0	0	0
home---education	304	108	320	195	50	26	11	7	2	1	1	0	16
home---school	27	12	3	1	0	0	1	4	0	0	0	0	2
home---shopping	49	1028	326	120	26	6	1	0	0	0	0	0	0
home---work	422	1090	705	516	414	419	315	244	241	192	167	96	405
school---home	23	8	5	3	2	0	1	0	1	0	0	0	0
school---work	3	1	3	0	0	0	0	0	0	0	0	0	0
shopping---home	66	515	301	72	8	0	0	1	0	0	0	0	1
shopping---store	40	312	180	51	7	1	0	0	0	0	0	0	1
store---home	2128	468	329	144	28	6	5	2	7	4	6	7	0
work---home	604	1290	856	442	99	10	2	1	0	2	3	7	1
work---store	1243	460	344	179	37	3	6	1	1	0	10	4	0

average trip duration: 796.3883379199335 seconds = 00:13:16
