Link Id	Count Station Id	Hour	MATSIM volumes	Count volumes	Relative Error	Normalized Relative Error	GEH
297843_0	0009	1	0	0	0	0	�
297843_0	0009	2	0	0	0	0	�
297843_0	0009	3	0	0	0	0	�
297843_0	0009	4	0	0	0	0	�
297843_0	0009	5	0	0	0	0	�
297843_0	0009	6	0	0	0	0	�
297843_0	0009	7	7	0	1000	1	3.742
297843_0	0009	8	124.2	152	-0.183	0.183	2.366
297843_0	0009	9	326	316	0.032	0.031	0.558
297843_0	0009	10	257	388	-0.338	0.338	7.295
297843_0	0009	11	46.8	404	-0.884	0.884	23.792
297843_0	0009	12	92.2	248	-0.628	0.628	11.946
297843_0	0009	13	131	380	-0.655	0.655	15.578
297843_0	0009	14	148	352	-0.58	0.58	12.902
297843_0	0009	15	225	392	-0.426	0.426	9.508
297843_0	0009	16	142	204	-0.304	0.304	4.714
297843_0	0009	17	130	212	-0.387	0.387	6.271
297843_0	0009	18	200	680	-0.706	0.706	22.883
297843_0	0009	19	226	772	-0.707	0.707	24.442
297843_0	0009	20	547	736	-0.257	0.257	7.462
297843_0	0009	21	337.4	524	-0.356	0.356	8.991
297843_0	0009	22	25	360	-0.931	0.931	24.145
297843_0	0009	23	130	136	-0.044	0.044	0.52
297843_0	0009	24	104	92	0.13	0.115	1.212
297843_0_r	revers_0009	1	1	0	1000	1	1.414
297843_0_r	revers_0009	2	0	0	0	0	�
297843_0_r	revers_0009	3	0	0	0	0	�
297843_0_r	revers_0009	4	0	0	0	0	�
297843_0_r	revers_0009	5	0	0	0	0	�
297843_0_r	revers_0009	6	0	0	0	0	�
297843_0_r	revers_0009	7	38	0	1000	1	8.718
297843_0_r	revers_0009	8	178.8	392	-0.544	0.544	12.62
297843_0_r	revers_0009	9	240.4	644	-0.627	0.627	19.193
297843_0_r	revers_0009	10	39.4	604	-0.935	0.935	31.479
297843_0_r	revers_0009	11	129.8	408	-0.682	0.682	16.965
297843_0_r	revers_0009	12	100	332	-0.699	0.699	15.786
297843_0_r	revers_0009	13	107	444	-0.759	0.759	20.303
297843_0_r	revers_0009	14	91	364	-0.75	0.75	18.1
297843_0_r	revers_0009	15	142	300	-0.527	0.527	10.628
297843_0_r	revers_0009	16	74	316	-0.766	0.766	17.33
297843_0_r	revers_0009	17	57	212	-0.731	0.731	13.365
297843_0_r	revers_0009	18	90.6	500	-0.819	0.819	23.824
297843_0_r	revers_0009	19	114.4	488	-0.766	0.766	21.527
297843_0_r	revers_0009	20	48	456	-0.895	0.895	25.702
297843_0_r	revers_0009	21	34	328	-0.896	0.896	21.853
297843_0_r	revers_0009	22	21.2	156	-0.864	0.864	14.321
297843_0_r	revers_0009	23	54.8	124	-0.558	0.558	7.319
297843_0_r	revers_0009	24	3	64	-0.953	0.953	10.539
297859_0	revers_0093	1	0	0	0	0	�
297859_0	revers_0093	2	0	0	0	0	�
297859_0	revers_0093	3	0	0	0	0	�
297859_0	revers_0093	4	0	0	0	0	�
297859_0	revers_0093	5	0	0	0	0	�
297859_0	revers_0093	6	0	0	0	0	�
297859_0	revers_0093	7	0	0	0	0	�
297859_0	revers_0093	8	19	44	-0.568	0.568	4.454
297859_0	revers_0093	9	33.8	164	-0.794	0.794	13.092
297859_0	revers_0093	10	16	128	-0.875	0.875	13.199
297859_0	revers_0093	11	0	116	-1	1	15.232
297859_0	revers_0093	12	0	72	-1	1	12
297859_0	revers_0093	13	1	124	-0.992	0.992	15.558
297859_0	revers_0093	14	0	80	-1	1	12.649
297859_0	revers_0093	15	3	92	-0.967	0.967	12.913
297859_0	revers_0093	16	0	88	-1	1	13.266
297859_0	revers_0093	17	0	20	-1	1	6.325
297859_0	revers_0093	18	61	224	-0.728	0.728	13.655
297859_0	revers_0093	19	27	28	-0.036	0.036	0.191
297859_0	revers_0093	20	2	148	-0.986	0.986	16.859
297859_0	revers_0093	21	0	88	-1	1	13.266
297859_0	revers_0093	22	0	80	-1	1	12.649
297859_0	revers_0093	23	0	36	-1	1	8.485
297859_0	revers_0093	24	0	16	-1	1	5.657
297859_0_r	0093	1	0	0	0	0	�
297859_0_r	0093	2	0	0	0	0	�
297859_0_r	0093	3	0	0	0	0	�
297859_0_r	0093	4	0	0	0	0	�
297859_0_r	0093	5	0	0	0	0	�
297859_0_r	0093	6	0	0	0	0	�
297859_0_r	0093	7	0	0	0	0	�
297859_0_r	0093	8	0	44	-1	1	9.381
297859_0_r	0093	9	98	136	-0.279	0.279	3.513
297859_0_r	0093	10	0	108	-1	1	14.697
297859_0_r	0093	11	0	64	-1	1	11.314
297859_0_r	0093	12	0	80	-1	1	12.649
297859_0_r	0093	13	1	60	-0.983	0.983	10.683
297859_0_r	0093	14	0	32	-1	1	8
297859_0_r	0093	15	1	36	-0.972	0.972	8.137
297859_0_r	0093	16	0	4	-1	1	2.828
297859_0_r	0093	17	1	8	-0.875	0.875	3.3
297859_0_r	0093	18	3	108	-0.972	0.972	14.094
297859_0_r	0093	19	4	28	-0.857	0.857	6
297859_0_r	0093	20	2	68	-0.971	0.971	11.156
297859_0_r	0093	21	1	60	-0.983	0.983	10.683
297859_0_r	0093	22	0	44	-1	1	9.381
297859_0_r	0093	23	0	20	-1	1	6.325
297859_0_r	0093	24	0	12	-1	1	4.899
297869_1	revers_1059-f	1	0	0	0	0	�
297869_1	revers_1059-f	2	0	0	0	0	�
297869_1	revers_1059-f	3	0	0	0	0	�
297869_1	revers_1059-f	4	0	0	0	0	�
297869_1	revers_1059-f	5	0	0	0	0	�
297869_1	revers_1059-f	6	0	0	0	0	�
297869_1	revers_1059-f	7	0	0	0	0	�
297869_1	revers_1059-f	8	7	28	-0.75	0.75	5.02
297869_1	revers_1059-f	9	196	124	0.581	0.367	5.692
297869_1	revers_1059-f	10	262.2	100	1.622	0.619	12.053
297869_1	revers_1059-f	11	88.4	108	-0.181	0.181	1.978
297869_1	revers_1059-f	12	80	104	-0.231	0.231	2.502
297869_1	revers_1059-f	13	47	144	-0.674	0.674	9.926
297869_1	revers_1059-f	14	52	60	-0.133	0.133	1.069
297869_1	revers_1059-f	15	59	84	-0.298	0.298	2.957
297869_1	revers_1059-f	16	42	8	4.25	0.81	6.8
297869_1	revers_1059-f	17	57	136	-0.581	0.581	8.042
297869_1	revers_1059-f	18	264.2	216	0.223	0.182	3.111
297869_1	revers_1059-f	19	283.6	308	-0.079	0.079	1.419
297869_1	revers_1059-f	20	144.8	232	-0.376	0.376	6.353
297869_1	revers_1059-f	21	89	208	-0.572	0.572	9.765
297869_1	revers_1059-f	22	7	148	-0.953	0.953	16.017
297869_1	revers_1059-f	23	18	100	-0.82	0.82	10.675
297869_1	revers_1059-f	24	12	44	-0.727	0.727	6.047
297869_1_r	1059-f	1	0	0	0	0	�
297869_1_r	1059-f	2	0	0	0	0	�
297869_1_r	1059-f	3	0	0	0	0	�
297869_1_r	1059-f	4	0	0	0	0	�
297869_1_r	1059-f	5	0	0	0	0	�
297869_1_r	1059-f	6	0	0	0	0	�
297869_1_r	1059-f	7	7	0	1000	1	3.742
297869_1_r	1059-f	8	113	200	-0.435	0.435	6.954
297869_1_r	1059-f	9	290	472	-0.386	0.386	9.324
297869_1_r	1059-f	10	194.2	280	-0.306	0.306	5.572
297869_1_r	1059-f	11	15	232	-0.935	0.935	19.527
297869_1_r	1059-f	12	25	164	-0.848	0.848	14.299
297869_1_r	1059-f	13	19	140	-0.864	0.864	13.571
297869_1_r	1059-f	14	34	68	-0.5	0.5	4.761
297869_1_r	1059-f	15	51	144	-0.646	0.646	9.418
297869_1_r	1059-f	16	30	80	-0.625	0.625	6.742
297869_1_r	1059-f	17	33	148	-0.777	0.777	12.089
297869_1_r	1059-f	18	273	488	-0.441	0.441	11.022
297869_1_r	1059-f	19	270.4	512	-0.472	0.472	12.215
297869_1_r	1059-f	20	75	340	-0.779	0.779	18.397
297869_1_r	1059-f	21	48.4	188	-0.743	0.743	12.84
297869_1_r	1059-f	22	12	60	-0.8	0.8	8
297869_1_r	1059-f	23	6	52	-0.885	0.885	8.542
297869_1_r	1059-f	24	0	24	-1	1	6.928
297870_2	1194	1	0	0	0	0	�
297870_2	1194	2	0	0	0	0	�
297870_2	1194	3	0	0	0	0	�
297870_2	1194	4	0	0	0	0	�
297870_2	1194	5	0	0	0	0	�
297870_2	1194	6	0	0	0	0	�
297870_2	1194	7	0	0	0	0	�
297870_2	1194	8	23	56	-0.589	0.589	5.251
297870_2	1194	9	110.4	104	0.062	0.058	0.618
297870_2	1194	10	32	88	-0.636	0.636	7.23
297870_2	1194	11	3.4	108	-0.969	0.969	14.015
297870_2	1194	12	36	68	-0.471	0.471	4.438
297870_2	1194	13	32	124	-0.742	0.742	10.417
297870_2	1194	14	43	100	-0.57	0.57	6.741
297870_2	1194	15	53	124	-0.573	0.573	7.547
297870_2	1194	16	43	40	0.075	0.07	0.466
297870_2	1194	17	42	76	-0.447	0.447	4.426
297870_2	1194	18	133.2	132	0.009	0.009	0.104
297870_2	1194	19	138.2	104	0.329	0.247	3.108
297870_2	1194	20	93.6	64	0.462	0.316	3.334
297870_2	1194	21	63	84	-0.25	0.25	2.449
297870_2	1194	22	7	48	-0.854	0.854	7.818
297870_2	1194	23	13	44	-0.705	0.705	5.807
297870_2	1194	24	18	12	0.5	0.333	1.549
297870_2_r	revers_1194	1	0	0	0	0	�
297870_2_r	revers_1194	2	0	0	0	0	�
297870_2_r	revers_1194	3	0	0	0	0	�
297870_2_r	revers_1194	4	0	0	0	0	�
297870_2_r	revers_1194	5	0	0	0	0	�
297870_2_r	revers_1194	6	0	0	0	0	�
297870_2_r	revers_1194	7	24	0	1000	1	6.928
297870_2_r	revers_1194	8	39	8	3.875	0.795	6.395
297870_2_r	revers_1194	9	114	92	0.239	0.193	2.168
297870_2_r	revers_1194	10	87.2	76	0.147	0.128	1.24
297870_2_r	revers_1194	11	22	72	-0.694	0.694	7.293
297870_2_r	revers_1194	12	47	72	-0.347	0.347	3.241
297870_2_r	revers_1194	13	60	100	-0.4	0.4	4.472
297870_2_r	revers_1194	14	102	88	0.159	0.137	1.436
297870_2_r	revers_1194	15	97	48	1.021	0.505	5.755
297870_2_r	revers_1194	16	59	64	-0.078	0.078	0.638
297870_2_r	revers_1194	17	52	72	-0.278	0.278	2.54
297870_2_r	revers_1194	18	110.8	132	-0.161	0.161	1.924
297870_2_r	revers_1194	19	85.2	112	-0.239	0.239	2.699
297870_2_r	revers_1194	20	46	68	-0.324	0.324	2.914
297870_2_r	revers_1194	21	30	68	-0.559	0.559	5.429
297870_2_r	revers_1194	22	5	44	-0.886	0.886	7.879
297870_2_r	revers_1194	23	17	24	-0.292	0.292	1.546
297870_2_r	revers_1194	24	3	16	-0.812	0.812	4.218
297870_5	revers_1211-a	1	0	0	0	0	�
297870_5	revers_1211-a	2	0	0	0	0	�
297870_5	revers_1211-a	3	0	0	0	0	�
297870_5	revers_1211-a	4	0	0	0	0	�
297870_5	revers_1211-a	5	0	0	0	0	�
297870_5	revers_1211-a	6	0	0	0	0	�
297870_5	revers_1211-a	7	0	0	0	0	�
297870_5	revers_1211-a	8	3	100	-0.97	0.97	13.517
297870_5	revers_1211-a	9	144.8	240	-0.397	0.397	6.863
297870_5	revers_1211-a	10	48	132	-0.636	0.636	8.854
297870_5	revers_1211-a	11	19.6	100	-0.804	0.804	10.397
297870_5	revers_1211-a	12	30	92	-0.674	0.674	7.938
297870_5	revers_1211-a	13	23	100	-0.77	0.77	9.819
297870_5	revers_1211-a	14	27	108	-0.75	0.75	9.859
297870_5	revers_1211-a	15	29	148	-0.804	0.804	12.65
297870_5	revers_1211-a	16	25	124	-0.798	0.798	11.47
297870_5	revers_1211-a	17	20	120	-0.833	0.833	11.952
297870_5	revers_1211-a	18	34	196	-0.827	0.827	15.107
297870_5	revers_1211-a	19	34	220	-0.845	0.845	16.505
297870_5	revers_1211-a	20	29	156	-0.814	0.814	13.205
297870_5	revers_1211-a	21	12	176	-0.932	0.932	16.915
297870_5	revers_1211-a	22	4	84	-0.952	0.952	12.06
297870_5	revers_1211-a	23	2	28	-0.929	0.929	6.713
297870_5	revers_1211-a	24	4	20	-0.8	0.8	4.619
297870_5_r	1211-a	1	0	0	0	0	�
297870_5_r	1211-a	2	0	0	0	0	�
297870_5_r	1211-a	3	0	0	0	0	�
297870_5_r	1211-a	4	0	0	0	0	�
297870_5_r	1211-a	5	0	0	0	0	�
297870_5_r	1211-a	6	0	0	0	0	�
297870_5_r	1211-a	7	3	0	1000	1	2.449
297870_5_r	1211-a	8	37	0	1000	1	8.602
297870_5_r	1211-a	9	78.6	60	0.31	0.237	2.234
297870_5_r	1211-a	10	74.4	68	0.094	0.086	0.758
297870_5_r	1211-a	11	7	12	-0.417	0.417	1.622
297870_5_r	1211-a	12	13	48	-0.729	0.729	6.338
297870_5_r	1211-a	13	18	24	-0.25	0.25	1.309
297870_5_r	1211-a	14	55	88	-0.375	0.375	3.903
297870_5_r	1211-a	15	52	28	0.857	0.462	3.795
297870_5_r	1211-a	16	35	28	0.25	0.2	1.247
297870_5_r	1211-a	17	22	52	-0.577	0.577	4.932
297870_5_r	1211-a	18	67	60	0.117	0.104	0.878
297870_5_r	1211-a	19	69	96	-0.281	0.281	2.973
297870_5_r	1211-a	20	27	68	-0.603	0.603	5.949
